route_id,place_id,traveler_id,score,updated_at
route-01,american-clock-watch-museum,gora,3,2026-09-02 20:35:02.603+00
route-01,american-clock-watch-museum,sheluvspaco,5,2026-09-02 20:35:02.603+00
route-01,american-clock-watch-museum,stivka,3,2026-09-02 20:35:02.603+00
route-01,american-clock-watch-museum,viki,2,2026-09-02 20:35:02.603+00
route-01,avam,gora,2,2026-09-02 21:43:20.686+00
route-01,avam,sheluvspaco,1,2026-09-02 21:43:17.453+00
route-01,avam,stivka,1,2026-09-02 21:43:21.903+00
route-01,avam,viki,3,2026-09-02 21:43:18.756+00
route-01,baps-akshardham,gora,5,2026-09-02 21:26:40.876+00
route-01,baps-akshardham,sheluvspaco,5,2026-09-02 21:25:51.043+00
route-01,baps-akshardham,stivka,3,2026-09-02 21:26:38.162+00
route-01,baps-akshardham,viki,5,2026-09-02 21:36:50.379+00
route-01,beat-the-bomb-brooklyn,gora,2,2026-09-02 21:21:19.676+00
route-01,beat-the-bomb-brooklyn,sheluvspaco,5,2026-09-02 21:21:11.941+00
route-01,beat-the-bomb-brooklyn,stivka,3,2026-09-02 21:21:20.576+00
route-01,beat-the-bomb-brooklyn,viki,5,2026-09-02 21:21:14.191+00
route-01,beinecke-library,gora,5,2026-09-02 20:35:02.603+00
route-01,beinecke-library,sheluvspaco,5,2026-09-02 20:35:02.603+00
route-01,beinecke-library,stivka,5,2026-09-02 20:35:02.603+00
route-01,beinecke-library,viki,5,2026-09-02 20:35:02.603+00
route-01,benefit-street,gora,3,2026-09-02 20:35:02.603+00
route-01,benefit-street,sheluvspaco,4,2026-09-02 20:35:02.603+00
route-01,benefit-street,stivka,1,2026-09-02 20:35:02.603+00
route-01,benefit-street,viki,1,2026-09-02 20:35:02.603+00
route-01,boda-borg-boston,gora,2,2026-09-02 22:01:18.872+00
route-01,boda-borg-boston,sheluvspaco,5,2026-09-02 22:01:15.205+00
route-01,boda-borg-boston,stivka,3,2026-09-02 22:01:24.705+00
route-01,boda-borg-boston,viki,4,2026-09-02 22:01:15.905+00
route-01,carousel-museum,gora,2,2026-09-02 20:35:02.603+00
route-01,carousel-museum,sheluvspaco,4,2026-09-02 20:35:02.603+00
route-01,carousel-museum,stivka,1,2026-09-02 20:35:02.603+00
route-01,carousel-museum,viki,4,2026-09-02 20:35:02.603+00
route-01,carroll-creek,gora,4,2026-09-02 20:35:02.603+00
route-01,carroll-creek,sheluvspaco,4,2026-09-02 20:35:02.603+00
route-01,carroll-creek,stivka,4,2026-09-02 20:35:02.603+00
route-01,carroll-creek,viki,4,2026-09-02 20:35:02.603+00
route-01,castle-hill-lighthouse,gora,2,2026-09-02 21:02:03.71+00
route-01,castle-hill-lighthouse,sheluvspaco,3,2026-09-02 20:35:02.603+00
route-01,castle-hill-lighthouse,stivka,2,2026-09-02 20:35:02.603+00
route-01,castle-hill-lighthouse,viki,3,2026-09-02 21:02:02.692+00
route-01,central-park-bike-loop,gora,5,2026-09-02 21:17:15.724+00
route-01,central-park-bike-loop,sheluvspaco,4,2026-09-02 21:17:11.56+00
route-01,central-park-bike-loop,stivka,5,2026-09-02 21:17:17.023+00
route-01,central-park-bike-loop,viki,5,2026-09-02 21:17:13.79+00
route-01,cliff-walk,gora,3,2026-09-02 20:35:02.603+00
route-01,cliff-walk,sheluvspaco,4,2026-09-02 21:02:38.944+00
route-01,cliff-walk,stivka,3,2026-09-02 20:35:02.603+00
route-01,cliff-walk,viki,1,2026-09-02 20:35:02.603+00
route-01,cunningham-falls,gora,4,2026-09-02 21:45:17.772+00
route-01,cunningham-falls,sheluvspaco,4,2026-09-02 21:44:58.753+00
route-01,cunningham-falls,stivka,5,2026-09-02 21:45:26.12+00
route-01,cunningham-falls,viki,5,2026-09-02 21:45:08.427+00
route-01,dumbarton-oaks,gora,2,2026-09-02 20:35:02.603+00
route-01,dumbarton-oaks,sheluvspaco,1,2026-09-02 20:35:02.603+00
route-01,dumbarton-oaks,stivka,1,2026-09-02 20:35:02.603+00
